,,,,,,,,,,,,,,,,Normalised abundance,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,KO RD,,WT RD,,KO RD,,WT RD,,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),CCS (angstrom^2),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1,NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2,NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1,Anova p-value KOvsWT DAA<= 0.05,Max fold change WT vsKO DAA>= 2,Anova p-value WT vs KO RD <= 0.05,Max fold change WT vs KO RD >= 2,Anova p-value WT vs KO R<= 0.05,Max fold change WT vs KO R >= 2,Anova p-value KO daa vs daarsl3 <= 0.05,Max fold change KO daa vs daarsl3  >= 2,Anova p-value WT daa vs daarsl3 <= 0.05,Max fold change WT daa vs daarsl3 >= 2,Anova p-value <= 0.05 ko c vs dr,Max fold change >= 2 ko c vs dr,Anova p-value <= 0.05 wt c vs dr,Max fold change >= 2 wt c vs dr,Anova p-value <= 0.05 ko c vs d,Max fold change >= 2 ko c vs d,Anova p-value <= 0.05 wt c vs d,Max fold change >= 2 wt c vs d,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),dCCS (angstrom^2),Compound Link
1.24_701.5090m/z,,701.5089788,1,1.2416,259.5300594,0.98455,0,0.000143419,0.066453819,1.643419684,WT RD,KO RD,100 - 48.2 - 22.1 - 4.65,38789.42324,0.4,23726.67704,23479.06549,38680.47518,38898.3713,23028.531,25005.1925,39247.74269,39414.03056,x,,x,,x,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.36_1037.7435n,1037.743507,1036.733851,1,1.362916667,330.0359559,1.808533333,0,0.000149,0.066453819,1.043148077,WT RD,KO RD,100 - 58.8 - 54.8 - 30.2 - 2.98 - 0.927,8173.379515,0.05,7838.362551,7832.240111,8170.628306,8176.130723,7607.722509,8341.331631,8290.454445,8284.518231,,,x,,,,x,,,,x,,x,,x,,x,,,,"M-H2O-H, M-H, M+Na-2H, M+K-2H",,,,,,,,
1.33_675.4929m/z,,675.4928837,1,1.329066667,253.3862195,1.36265,0,0.000184457,0.075412268,2.02667127,WT RD,KO RD,100 - 42 - 22.9 - 3.05,21998.81298,0.38,10954.68657,10754.61903,21940.01534,22057.61063,10632.3502,11453.66366,22261.77607,22350.01904,x,,x,x,x,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
5.05_761.6121m/z,,761.6120504,1,5.053083333,278.0800522,0.533166667,0,0.00022004,0.079444085,1.256892311,KO RD,WT RD,100 - 51.3 - 20.5,28913.70984,0.26,28831.77849,28995.6412,22961.23138,23047.0218,27983.4173,30880.34274,23297.96873,23352.54643,x,,x,,x,,x,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.17_754.5429m/z,,754.5428721,1,1.173916667,265.4985625,0.363916667,0,0.000226706,0.079444085,1.672316364,WT RD,KO RD,100 - 64.1,6676.83953,0.62,3967.121403,4018.017862,6647.477735,6706.201325,3850.390766,4279.186927,6744.966148,6795.1026,x,,x,,x,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.02_783.6115m/z,,783.6115177,1,1.01875,287.3974603,0.41185,0,0.000248522,0.081283242,1.829273241,WT RD,KO RD,71.9 - 100 - 7.11,5767.41975,0.34,3160.425338,3145.269863,5820.555459,5714.284041,3067.431345,3349.710763,5905.916665,5790.035888,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
3.97_782.0398m/z,,782.0397756,1,3.966966667,214.7083063,0.34415,0,0.000269751,0.082712431,2.33994995,WT RD,KO RD,48.2 - 100 - 29.6,202.6722074,1.17,85.89506701,87.33274703,200.3960717,204.9483432,83.36764604,93.00933002,203.3349751,207.6652567,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
1.21_727.6533m/z,,727.6532654,1,1.20775,262.5129701,0.276466667,0,0.000303181,0.08477643,1.843205925,WT RD,KO RD,100 - 57.9,1144.723152,1,616.6557583,625.4443632,1153.834475,1135.611828,598.5109597,666.0979204,1170.756004,1150.666154,x,,x,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
5.05_729.5283n,729.5283195,788.5269344,1,5.053083333,281.0640834,0.310316667,0,0.000322264,0.08477643,1.784186067,WT RD,KO RD,100 - 55,7712.278114,0.67,4362.630175,4282.519852,7748.62637,7675.929858,4234.261883,4560.881408,7862.26365,7777.686414,x,,x,,x,,x,,,,x,,x,,x,,x,,,,"M-H2O-H, M+CH3COO",,,,,,,,
2.73_745.6571n,745.6571165,782.6273765,1,2.725733333,166.9983006,0.708066667,0,0.000328323,0.08477643,1.139608786,WT RD,KO RD,100 - 60 - 13.6,1364.105419,0.22,1199.135299,1194.853649,1361.987168,1366.223669,1163.85132,1272.518512,1381.961356,1384.335118,,,x,,,,,,x,,,,,,,,,,,,"M-H, M+K-2H",,,,,,,,
1.33_677.0948m/z,,677.0947664,1,1.329066667,253.3742854,0.121316667,0,0.000366366,0.087854549,4.539592345,WT RD,KO RD,100,178.0069842,1.82,40.22985173,38.19436378,175.7167468,180.2972216,39.04610773,40.67697749,178.2937162,182.6873457,x,x,x,x,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,
