,,,,,,,,,,,,,,,,"Normalised abundance",,,,,,,,,,,,,,,,"Raw abundance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"KO C",,"KO D",,"KO R",,"KO RD",,"WT C",,"WT D",,"WT R",,"WT RD",,"KO C",,"KO D",,"KO R",,"KO RD",,"WT C",,"WT D",,"WT R",,"WT RD",,"Tags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Compound","Neutral mass (Da)","m/z","Charge","Retention time (min)","CCS (angstrom^2)","Chromatographic peak width (min)","Identifications","Anova (p)","q Value","Max Fold Change","Highest Mean","Lowest Mean","Isotope Distribution","Maximum Abundance","Minimum CV%","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_KO_RD2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_C2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_D2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_R2","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD1","NEG_2022_07_12_NR_LIPIDS_HILIC_WT_RD2","Anova p-value KOvsWT DAA<= 0.05","Max fold change WT vsKO DAA>= 2","Anova p-value WT vs KO RD <= 0.05","Max fold change WT vs KO RD >= 2","Anova p-value WT vs KO R<= 0.05","Max fold change WT vs KO R >= 2","Anova p-value KO daa vs daarsl3 <= 0.05","Max fold change KO daa vs daarsl3  >= 2","Anova p-value WT daa vs daarsl3 <= 0.05","Max fold change WT daa vs daarsl3 >= 2","Anova p-value <= 0.05 ko c vs dr","Max fold change >= 2 ko c vs dr","Anova p-value <= 0.05 wt c vs dr","Max fold change >= 2 wt c vs dr","Anova p-value <= 0.05 ko c vs d","Max fold change >= 2 ko c vs d","Anova p-value <= 0.05 wt c vs d","Max fold change >= 2 wt c vs d","Accepted Compound ID","Accepted Description","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Retention Time Error (mins)","dCCS (angstrom^2)","Compound Link"
"5.09_803.7568m/z",,"803.756834599542","1","5.08691666666667","284.123326675332","0.189","0","0","0","Infinity","WT D","KO C","100 - 35.4","451.429819764239","0.38","0","0","407.654500415924","420.461276061735","0","0","385.107510947021","365.59594629679","0","0","449.254528607634","453.605110920844","0","0","423.162040755118","420.887527582218","0","0","421.111115076348","420.776484116627","0","0","373.775907956136","389.359492029119","0","0","451.795129202728","474.33936995675","0","0","428.771720976941","427.060042746274","x",,"x",,,,,,"x",,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"4.97_787.7598m/z",,"787.759812435551","1","4.96561666666667","281.068777837925","0.121316666666666","0","0","0","Infinity","KO D","KO C","100 - 27.4","369.759303873657","0.19","0","0","369.250625901167","370.267981846147","0","0","313.07697957408","303.813404682677","0","0","257.533813705803","262.038948782013","0","0","226.896926781017","250.294353412306","0","0","381.439534353798","370.545561392687","0","0","303.86484026941","323.56111744974","0","0","258.990205391794","274.016731462885","0","0","229.904803386122","253.965038787066","x",,"x",,,,"x",,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.05_757.2737m/z",,"757.273727334281","1","5.05308333333333","278.10830627242","0.121300000000001","0","1.11022302462516E-16","2.56884855824513E-14","Infinity","KO D","KO C","100","297.149629889656","2.50","0","0","307.498293426854","286.800966352459","0","0","283.482355069548","293.671320382955","0","0","182.472212088136","195.835673359885","0","0","182.637572730576","174.141372505879","0","0","317.648766533766","287.015973012744","0","0","275.141023334236","312.759802962925","0","0","183.504119350276","204.787308784962","0","0","185.058721796026","176.695238306219","x",,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"6.29_1020.8231m/z",,"1020.82308367867","1","6.2943","323.846315815547","0.121316666666666","0","1.11022302462516E-16","2.56884855824513E-14","Infinity","WT D","KO C","100 - 62.9 - 29 - 7.05","192.527873228389","0.11","0","0","129.718470072158","118.280513571173","0","0","127.239391747976","127.443142049642","0","0","188.296236611802","196.759509844977","0","0","162.55112731883","163.46901424913","0","0","134.000457550084","118.369185162916","0","0","123.495433941118","135.726879779901","0","0","189.361079591287","205.753373773498","0","0","164.705998871884","165.866364855127","x",,"x",,,,,,"x",,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.09_776.6017n","776.601704378718","797.58852805723","1","5.08691666666667","284.160322028766","0.397766666666667","0","1.11022302462516E-16","2.56884855824513E-14","10.2321894155223","WT D","WT R","100 - 78.1","26766.6157801387","0.02","3387.90890029565","3405.9409956644","24694.9591497936","25348.6745356745","3275.24577633876","3327.04053955421","24091.22953311","23828.2554120411","2856.7022109796","2874.48487527849","26770.8981246753","26762.333435602","2593.15259943706","2638.69264758967","25546.9837839642","25205.8447649329","3505.25245269752","3606.02794036134","25510.1360925102","25367.6777277624","3275.24577633876","3479.47654019637","23382.3567096219","25377.0795796537","3117.84845507311","2989.27478607388","26922.2915005364","27985.6378924953","2736.81895611569","2839.89115369919","25885.6493443354","25575.5004302555","x",,"x",,"x",,,,"x",,"x","x","x","x","x","x","x","x",,,"M-H, M+Na-2H",,,,,,,,
"3.16_924.7929m/z",,"924.792938421347","1","3.15735","311.754794846917","0.378","0","2.22044604925031E-16","3.66978365463589E-14","Infinity","KO D","KO C","100 - 16.8","729.855825810243","2.09","0","0","719.067126436144","740.644525184343","0","0","669.912728508145","730.655744304201","0","0","499.709112690203","558.211989028627","0","0","472.267419029203","457.539313109304","0","0","742.803425742438","741.199765662936","0","0","650.200869190399","778.147986409826","0","0","502.535041397053","583.72782140973","0","0","478.52806848446","464.249344087276","x",,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
"5.12_777.9210m/z",,"777.921016408466","1","5.12076666666667","277.97663202878","0.1213","0","2.22044604925031E-16","3.66978365463589E-14","Infinity","WT D","KO C","100","201.91534602878","1.53","0","0","172.517597539834","163.026491624581","0","0","182.85596794943","186.85499577218","0","0","191.071557963941","212.759134093618","0","0","161.660798201472","165.936496099491","0","0","178.212377874326","163.148708024156","0","0","177.475519180146","199.000472991837","0","0","192.152095794853","222.484339767771","0","0","163.803867037932","168.370033496828",,,"x",,,,,,,,"x","x","x","x","x","x","x","x",,,,,,,,,,,
