,,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Control,,,,DAA,,,,RSL3,,,,DAA+RSL3,,,,Control,,,,DAA,,,,RSL3,,,,DAA+RSL3,,,,Tags,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),CCS (angstrom^2),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,NEG_2022_04_22_NR_LIPIDS_HILIC_C1,NEG_2022_04_22_NR_LIPIDS_HILIC_C2,NEG_2022_04_22_NR_LIPIDS_HILIC_C3,NEG_2022_04_22_NR_LIPIDS_HILIC_C4,NEG_2022_04_22_NR_LIPIDS_HILIC_D1,NEG_2022_04_22_NR_LIPIDS_HILIC_D2,NEG_2022_04_22_NR_LIPIDS_HILIC_D3,NEG_2022_04_22_NR_LIPIDS_HILIC_D4,NEG_2022_04_22_NR_LIPIDS_HILIC_R1,NEG_2022_04_22_NR_LIPIDS_HILIC_R2,NEG_2022_04_22_NR_LIPIDS_HILIC_R3,NEG_2022_04_22_NR_LIPIDS_HILIC_R4,NEG_2022_04_22_NR_LIPIDS_HILIC_RD1,NEG_2022_04_22_NR_LIPIDS_HILIC_RD2,NEG_2022_04_22_NR_LIPIDS_HILIC_RD3,NEG_2022_04_22_NR_LIPIDS_HILIC_RD4,NEG_2022_04_22_NR_LIPIDS_HILIC_C1,NEG_2022_04_22_NR_LIPIDS_HILIC_C2,NEG_2022_04_22_NR_LIPIDS_HILIC_C3,NEG_2022_04_22_NR_LIPIDS_HILIC_C4,NEG_2022_04_22_NR_LIPIDS_HILIC_D1,NEG_2022_04_22_NR_LIPIDS_HILIC_D2,NEG_2022_04_22_NR_LIPIDS_HILIC_D3,NEG_2022_04_22_NR_LIPIDS_HILIC_D4,NEG_2022_04_22_NR_LIPIDS_HILIC_R1,NEG_2022_04_22_NR_LIPIDS_HILIC_R2,NEG_2022_04_22_NR_LIPIDS_HILIC_R3,NEG_2022_04_22_NR_LIPIDS_HILIC_R4,NEG_2022_04_22_NR_LIPIDS_HILIC_RD1,NEG_2022_04_22_NR_LIPIDS_HILIC_RD2,NEG_2022_04_22_NR_LIPIDS_HILIC_RD3,NEG_2022_04_22_NR_LIPIDS_HILIC_RD4,Anova p-value <= 0.05_RSL3vsCtrl,Max fold change >= 2_RSL3vsCtrl,OPLS_RSL3vsCtrl,Anova p-value <= 0.05_DAAvsCtrl,OPLS_DAAvsCtrl,Anova p-value <= 0.05_RSL3DAAvsControl,OPLS_RSL3DAAvsCtrl,Anova p-value <= 0.05_DAAvsRSL3,OPLS_DAAvsRSL3,Anova p-value <= 0.05_DAAvsRSL3DAA,OPLS_DAAvsRSL3DAA,Anova p-value <= 0.05_RSL3vsRSL3DAA,OPLS_RSL3vsRSL3DAA,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),dCCS (angstrom^2),Compound Link
1.48_358.3268m/z,,358.3267514,1,1.48415,189.3163519,0.256683333,0,0,0,Infinity,DAA,RSL3,100 - 14.8,197.6548281,13.86,0.000272866,0,0,0.000612344,230.9215561,190.6901732,205.6066378,163.4009452,0,0,0,0,75.10799162,88.44048469,98.09726948,104.1654979,0.000267465,0,0,0.000639993,215.5102858,184.2641338,201.8823828,149.1632069,0,0,0,0,69.93464888,82.0829715,92.17815116,100.1668559,,x,,x,,x,,x,,x,,x,,,,,,,,,,,,
6.26_994.8070m/z,,994.8070479,1,6.260216667,316.5726924,0.0677,0,0,0,Infinity,DAA,Control,100 - 43.4 - 8.2,105.874631,5.59,0,0,0,0,112.6003294,98.37730396,107.57822,104.9426708,0,0,0,0,56.50854421,70.00347839,83.46684978,92.57537603,0,0,0,0,105.0855952,95.06210201,105.6296023,95.7986216,0,0,0,0,52.6163077,64.97130292,78.43052041,89.02164857,,,,x,,x,,x,,x,,x,,,,,,,,,,,,
6.21_986.7526m/z,,986.7526331,1,6.206616667,315.2255156,0.1213,0,0,0,Infinity,DAA,Control,50.3 - 100,102.1596268,9.44,0,0,0,0,115.6109761,101.8323098,98.03054059,93.16468061,0,0,0,0,58.77564213,65.70553862,80.74666969,77.01445808,0,0,0,0,107.895317,98.40067815,96.25486477,85.04689197,0,0,0,0,54.72725081,60.98231905,75.87447401,74.05807371,,,,x,,x,,x,,x,,x,,,,,,,,,,,,
3.41_978.7668m/z,,978.7668297,1,3.413633333,312.486788,0.1213,0,0,0,Infinity,DAA,Control,100,96.92424004,12.34,0,0,0,0,101.1056633,80.10690919,124.2795478,82.20483986,0,0,0,0,84.22668837,95.86929596,92.54859748,112.5393835,0,0,0,0,94.35806145,77.40739852,122.0284107,75.04202332,0,0,0,0,78.42526142,88.97776528,86.96428202,108.2192898,,,,x,,x,,x,,,,x,,,,,,,,,,,,
5.17_766.0708m/z,,766.0707939,1,5.174133333,270.3519592,0.1213,0,0,0,Infinity,RSL3,DAA,100,90.99423388,6.48,82.86771417,94.19817697,84.43622003,82.29381074,0,0,0,0,77.0415879,99.60581261,106.8375779,80.49195711,0,0,0,0,81.22743822,100.3472867,87.603293,86.00955668,0,0,0,0,81.45075607,107.3783163,114.1772974,81.54350222,0,0,0,0,,,,x,,x,,x,,,,x,,,,,,,,,,,,
6.42_879.8129m/z,,879.8128746,1,6.415366667,298.8994214,0.1213,0,0,0,Infinity,DAA,Control,100 - 13.6,84.72307165,12.03,0,0,0,0,93.3023,68.83056167,87.42176991,89.33765499,0,0,0,0,57.47840158,67.41999103,75.8329918,73.80410409,0,0,0,0,87.07547997,66.51105095,85.83825602,81.55332947,0,0,0,0,53.51936253,62.57352865,71.2572839,70.97095685,,,,x,,x,,x,,,,x,,,,,,,,,,,,
5.21_738.8971m/z,,738.8970998,1,5.207983333,264.4953174,0.0677,0,0,0,Infinity,RSL3,DAA,100 - 46.3,81.69319501,5.49,70.21847798,75.90521579,76.5767661,68.63830685,0,0,0,0,87.40152339,88.06283384,85.58246892,65.7259539,0,0,0,0,68.82857985,80.86018961,79.44904302,71.73747686,0,0,0,0,92.40360118,94.9346085,91.46196684,66.58459628,0,0,0,0,,,,x,,x,,x,,,,x,,,,,,,,,,,,
3.41_1163.7710m/z,,1163.770981,1,3.413633333,357.3875633,0.1213,0,0,0,Infinity,RSL3,DAA,100 - 46,65.10461915,8.49,48.62035693,62.52628934,49.64730991,43.32379357,0,0,0,0,68.32938021,65.82921994,69.17229244,57.08758401,0,0,0,0,47.65797003,66.60790776,51.50950428,45.27995781,0,0,0,0,72.23993991,70.9660472,73.92441462,57.83337492,0,0,0,0,x,,,x,,x,,x,,,,x,,,,,,,,,,,,
6.26_988.7705m/z,,988.7705336,1,6.260216667,316.5991549,0.10155,0,0,0,86091.86123,DAA,Control,100 - 55.2 - 14.5,268.1757955,1.58,0,0,0.012459984,0,264.246889,272.3346398,271.3219434,264.7997096,0,0.016407657,0,0,131.7470567,171.7321539,217.1575999,213.4464667,0,0,0.012927338,0,246.6115486,263.1572758,266.4073544,241.7267161,0,0.01768799,0,0,122.6724873,159.3872483,204.0544673,205.252813,,,,x,,x,,x,,x,,x,,,,,,,,,,,,
3.38_896.6183m/z,,896.6183362,1,3.379783333,295.9604334,0.722133333,0,0,0,101.7186949,DAA,RSL3,100 - 52.1 - 18.2 - 5.54 - 0.749,78643.73173,3.15,807.5244887,814.4737917,758.517169,789.9448698,85153.57043,67018.18856,94824.85958,67578.30835,773.550714,822.7990867,780.5391079,715.7080532,70081.60765,71066.41671,75297.14617,82850.34758,791.5404229,867.6413675,786.9679834,825.6126121,79470.58128,64759.75272,93107.24985,61689.95645,817.8218056,887.0042647,834.1619832,725.058047,65254.47584,65957.83229,70753.77081,79669.93862,,,,x,x,x,x,x,x,,,x,x,,,,,,,,,,,
